ling,yuan,xing 〇
kang 㢜
su 㢝
yi 㢞
chan 㢟
jiong 㢠
jiang 㢡
jing 㢣
dong 㢥
juan 㢧
han 㢨
di 㢩
hong 㢬
chi 㢮
min,diao 㢯
bi 㢰
xun 㢲
lu 㢳
she,xie 㢵
bi 㢶
bi 㢸
xian 㢺
rui 㢻
bie 㢼
er 㢽
juan 㢾
zhen 㣀
bei 㣁
e 㣂
yu 㣃
qu 㣄
zan 㣅
mi 㣆
yi 㣇
si 㣈
shan 㣌
tai 㣍
mu 㣎
jing 㣏
bian 㣐
rong 㣑
ceng 㣒
can 㣓
ding 㣔
di,zhou 㣙
dong,tong 㣚
ta,hui 㣛
xing 㣜
song 㣝
duo 㣞
xi 㣟
tao,tong 㣠
ti 㣢
shan 㣣
jian 㣤
zhi 㣥
wei 㣦
yin 㣧
huan 㣪
zhong,dong 㣫
qi 㣬
zong 㣭
xie 㣯
xie 㣰
ze 㣱
wei 㣲
ta 㣵
zhan 㣶
ning 㣷
yi 㣻
ren 㣼
shu,nu 㣽
cha 㣾
zhuo,diao 㣿
mian 㤁
ji 㤂
fang 㤃
pei 㤄
ai,ji,xi 㤅
fan 㤆
ao 㤇
qin 㤈
ya,qia 㤉
xiao 㤊
fen 㤋
gan 㤌
qiao 㤍
ge 㤎
tong 㤏
chan 㤐
you 㤑
gao 㤒
ben 㤓
fu 㤔
po,chu 㤕
zhu 㤖
zhou 㤘
hang 㤚
nin 㤛
jue 㤜
chong 㤝
ze,cha,duo 㤞
kong 㤟
lie 㤠
li,lie 㤡
yu 㤢
yu 㤤
hai 㤥
li 㤦
hou 㤧
gong 㤨
ke 㤩
yuan 㤪
de 㤫
hui 㤬
guang 㤮
jiong 㤯
zuo 㤰
fu,dou 㤱
qie 㤲
bei 㤳
die,she,che 㤴
ci 㤵
mang 㤶
han 㤷
xi 㤸
qiu,jiu 㤹
huang 㤺
chou 㤽
san,tan 㤾
yan 㤿
de,zhi 㥀
de 㥁
te 㥂
men 㥃
ling 㥄
shou 㥅
tui 㥆
can 㥇
die 㥈
che 㥉
peng 㥊
yi 㥋
ju 㥌
ji 㥍
lai 㥎
tian 㥏
yuan 㥐
cai 㥒
qi 㥓
yu 㥔
lian 㥕
cong 㥖
yu 㥚
ke,ji 㥛
wei 㥜
mi 㥝
sui 㥞
