líng,yuán,xīng 〇
yǐn 㧈
gài,hài,yè 㧉
pō,bá 㧊
xuǎn 㧋
mào 㧌
fǎng,bēng 㧍
yá,yà,qiā 㧎
gāng 㧏
sǒng 㧐
huī 㧑
yù 㧒
guā 㧓
guài 㧔
liǔ 㧕
è 㧖
zǐ,jǐ,zhǐ 㧗
zì 㧘
bì,bié 㧙
wǎ 㧚
liè 㧜
kuǎi 㧟
hài,wèi 㧡
yīn 㧢
zhū 㧣
chòng 㧤
xiǎn 㧥
xuàn,hōng 㧦
qiú 㧨
pèi 㧩
guǐ,wěi 㧪
ér,ruán,ruí 㧫
gǒng 㧬
qióng 㧭
hū 㧮
lǎo 㧯
lì 㧰
chèn 㧱
sǎn 㧲
zhuò,bāi 㧳
wǒ,é 㧴
póu 㧵
kēng 㧶
tùn 㧷
pēng 㧸
tè 㧹
tà 㧺
zhuó,zú,dū 㧻
biào 㧼
gù 㧽
hū 㧾
bǐng 㨀
zhì,zhí 㨁
dǒng 㨂
duǐ,chéng 㨃
zhōu,zhào,tiáo 㨄
nèi,ruì 㨅
lǐn 㨆
pó 㨇
jǐ 㨈
mín,wěn 㨉
wěi,tuǒ,duò 㨊
chě 㨋
gòu 㨌
bāng 㨍
rú 㨎
tān 㨏
bǔ 㨐
zōng 㨑
kuī 㨒
láo 㨓
hàn 㨔
yíng 㨕
zhì 㨖
jié 㨗
xǐng 㨘
xié,xì 㨙
xún,sǔn 㨚
shǎn,shàn 㨛
qián 㨜
xiē 㨝
sù 㨞
hāi 㨟
mì 㨠
hún 㨡
pī 㨢
huì 㨤
nà 㨥
sǒng 㨦
bèn 㨧
chōu,liù 㨨
jié 㨩
huàng,huǎng 㨪
lǎn 㨫
hù 㨭
dōu 㨮
huò 㨯
gǔn 㨰
yáo 㨱
cè 㨲
guǐ,jì 㨳
jiàn 㨴
jiǎn 㨵
dǎo 㨶
jìn 㨷
mà 㨸
huì,xuě 㨹
miǎn,mén 㨺
cán,shǎn,zàn,chàn 㨻
lüè 㨼
pì 㨽
yàng 㨾
jù 㨿
jù 㩀
què 㩁
qiān 㩃
shāi 㩄
jiù,zú 㩆
huò,zuó,huá 㩇
yǔn 㩈
dá,lā,xī,xié 㩉
xuān 㩊
xiāo,sù 㩋
fèi 㩌
cè 㩍
yè 㩎
dèn 㩐
qín 㩒
huǐ 㩓
tún 㩔
qiáng 㩖
xí 㩗
nǐ 㩘
sāi 㩙
méng 㩚
tuán 㩛
lǎn 㩜
háo 㩝
cì 㩞
zhài 㩟
āo,piǎo,póu 㩠
luǒ 㩡
miè,mì 㩢
fū 㩤
xié,xī 㩦
bó 㩧
huì 㩨
qǐng 㩩
xié 㩪
bó 㩭
qián 㩮
pó 㩯
jiǎo 㩰
jué 㩱
kǔn 㩲
sǒng 㩳
jú,qú 㩴
è 㩵
niè 㩶
qiān 㩷
dié 㩸
dié 㩹
qī,guì,guǐ 㩻
zhī 㩼
qí,chì,è 㩽
zhuì,qí 㩾
kū 㩿
yú 㪀
qín,kān,qiàn,qián 㪁
kū 㪂
hé 㪃
fú 㪄
dǐ 㪆
xiàn 㪇
guì 㪈
hé 㪉
qún 㪊
hàn,hě 㪋
tǒng 㪌
bó,bèi 㪍
shǎn,nà 㪎
bǐ 㪏
lù 㪐
yè 㪑
ní 㪒
chuái 㪓
sàn 㪔
diào,chuò 㪕
lù 㪖
tǒu 㪗
liǎn 㪘
kě 㪙
sàn 㪚
zhěn 㪛
chuǎi,duǒ 㪜
liàn 㪝
mào 㪞
qiān,qiàn,jiān 㪠
kài,kě 㪡
shǎo 㪢
xiāo,qiāo 㪣
bì 㪤
zhā 㪥
yìn 㪦
xī 㪧
shàn 㪨
sù 㪩
sà 㪪
ruì 㪫
chuō,zhuó 㪬
lú 㪭
líng 㪮
chá 㪯
huàn 㪱
jiá 㪴
bàn 㪵
hú 㪶
dǒu 㪷
lǒu 㪹
jū 㪺
juàn 㪻
kě 㪼
suǒ 㪽
luò,gé 㪾
zhé 㪿
dǐng 㫀
duàn 㫁
zhù 㫂
yǎn 㫃
páng 㫄
chá 㫅
yǐ,ě 㫊
yóu,yǎo 㫍
huī,gǔn 㫎
yǎo 㫏
yǎo 㫐
zhǐ,shí 㫑
gǒng 㫒
qǐ 㫓
gèn 㫔
hòu 㫗
mì 㫘
fú 㫙
hū 㫚
guàng 㫛
tǎn 㫜
dī 㫝
yán 㫟
qù 㫢
chǎng 㫤
mǐng 㫥
tāo 㫦
bào 㫧
ān 㫨
xiǎn 㫫
mào 㫯
làng,lǎng 㫰
nǎn,nàn 㫱
bèi 㫲
chén 㫳
fēi 㫵
zhǒu 㫶
jī 㫷
jiē 㫸
shù 㫹
kùn 㫻
dié 㫼
lù 㫽
yú 㬂
tái 㬃
chàn 㬄
màn 㬅
mǐn 㬆
huàn 㬇
wēn 㬈
nuǎn 㬉
huàn,huǎn 㬊
hóu 㬋
jìng 㬌
bó 㬍
xiǎn 㬎
lì 㬏
jìn,zī 㬐
mǎng 㬒
piào 㬓
háo 㬔
yáng 㬕
xiàn 㬗
sù 㬘
wěi 㬙
chè 㬚
xī 㬛
jìn 㬜
céng,sōng 㬝
hè 㬞
fēn 㬟
shài,shà 㬠
líng 㬡
duì 㬣
qī 㬤
pù,bó 㬥
yuè 㬦
bó 㬧
huì 㬩
dié 㬪
yàn 㬫
jù 㬬
jiào 㬭
nàn 㬮
liè 㬯
yú 㬰
tì 㬱
tiān 㬲
wǔ 㬳
hǒng 㬴
xiáo 㬵
hào 㬶
tiāo 㬸
zhēng 㬹
huāng,hāng,huǎng 㬻
fù 㬼
tūn 㬿
réng 㭁
jiǎo 㭂
xìn 㭄
yuàn 㭇
jué 㭈
huá 㭉
bàng 㭋
móu 㭌
gāng 㭎
wěi 㭏
mèi 㭑
sì 㭒
biàn 㭓
lú 㭔
qū 㭕
gé,hé 㭘
zhé 㭙
lǚ 㭚
pài,bà 㭛
róng 㭜
qiú,òu 㭝
liè 㭞
gǒng 㭟
xiǎn 㭠
xì,xìn 㭡
xīn 㭢
niǎo 㭤
xié 㭨
liè 㭩
fū 㭪
cuó,cuán 㭫
zhuó 㭬
bā,bèi,biē 㭭
zuò,zǎn 㭮
zhé,dié 㭯
zuī,zuǐ 㭰
hé 㭱
jí 㭲
jiān 㭴
tú 㭸
xián 㭹
yǎn,yàn,ān 㭺
táng 㭻
tà 㭼
dǐ 㭽
jué 㭾
áng 㭿
hán 㮀
xiáo 㮁
jú 㮂
wēi,ruí 㮃
bǎng 㮄
zhuī 㮅
niè 㮆
tiàn 㮇
nài 㮈
yǒu 㮋
mián 㮌
nài,nì,nà 㮏
shěng,sì 㮐
chā,qì 㮑
yān,yīn 㮒
gèn 㮓
chòng,tóng 㮔
ruǎn 㮕
jiá 㮖
qín 㮗
máo 㮘
è 㮙
lì 㮚
chí,yí 㮛
zāng 㮜
hé 㮝
jié 㮞
niǎn,kā 㮟
guàn 㮡
hóu 㮢
gài 㮣
bèn,fàn 㮥
suǒ,sè 㮦
wū,wēn 㮧
jì 㮨
xī 㮩
qióng 㮪
hé,xiá,qià 㮫
wēng 㮬
xián 㮭
jié 㮮
hún,huá 㮯
pí 㮰
